WKT,route,district,route_type,degree,start_E,start_N,end_E,end_N
"LINESTRING (839175.663837759 821171.964302847,839175.90159737 821166.30403421,839175.90159737 821166.30403421,839179.501343104 821143.504407967,839179.501343104 821143.504407967,839187.101517815 821103.940282948,839187.101517815 821103.940282948,839192.638635407 821078.394802432,839192.638635407 821078.394802432,839197.342638087 821045.695698051,839197.342638087 821045.695698051,839197.61438912 821025.088000208,839197.61438912 821025.088000208,839196.238211375 821002.15456064,839196.238211375 821002.15456064,839192.23501741 820978.79983408,839192.23501741 820978.79983408,839184.234738488 820954.204127433,839184.234738488 820954.204127433,839173.576688643 820928.212669071,839173.576688643 820928.212669071,839140.723599924 820866.549414871,839140.723599924 820866.549414871,839133.545343129 820852.949854631,839133.545343129 820852.949854631,839126.079795608 820832.894406718,839126.079795608 820832.894406718,839120.972676689 820817.235567484,839120.972676689 820817.235567484,839118.626020676 820804.733178619,839118.626020676 820804.733178619,839097.093468031 820694.2823678,839097.093468031 820694.2823678,839094.059158067 820667.218236727,839094.059158067 820667.218236727,839093.093948964 820649.489424539,839093.093948964 820649.489424539,839093.787546953 820631.218314461,839093.787546953 820631.218314461,839095.730259245 820599.216321935,839095.730259245 820599.216321935,839105.139894952 820524.350270972,839105.139894952 820524.350270972,839113.16669531 820462.395649275,839113.16669531 820462.395649275,839113.533039116 820458.788255547)",3644-3690,K,MAJOR_ROUTE,2,839175.663837759,821171.964302847,839113.533039116,820458.788255547
"LINESTRING (837964.91711613 821195.900986916,838059.54129302 821291.165559717,838059.54129302 821291.165559717,838069.903908002 821302.428494444,838069.903908002 821302.428494444,838166.638211193 821406.586168037,838166.638211193 821406.586168037,838177.23759905 821418.004233733,838177.23759905 821418.004233733,838185.56145148 821426.306345701)",3681-3395,K,URBAN_ROAD,2,837964.91711613,821195.900986916,838185.56145148,821426.306345701
"LINESTRING (837352.836468977 820780.58705163,837359.806065509 820784.986993221,837359.806065509 820784.986993221,837378.94720646 820796.216861702,837378.94720646 820796.216861702,837381.666914305 820798.110621845,837381.666914305 820798.110621845,837391.566957226 820806.383225222,837391.566957226 820806.383225222,837402.489890947 820811.54846532)",88816-888161,K,URBAN_ROAD,2,837352.836468977,820780.58705163,837402.489890947,820811.54846532
"LINESTRING (839072.560892109 821789.433446259,839097.2357633 821777.99997196,839097.2357633 821777.99997196,839122.576165327 821762.542404192)",88817-888171,K,MAJOR_ROUTE,2,839072.560892109,821789.433446259,839122.576165327,821762.542404192
"LINESTRING (837402.489890947 820811.54846532,837441.851330133 820830.161714215,837441.851330133 820830.161714215,837453.16285785 820837.039206032,837453.16285785 820837.039206032,837510.637198535 820872.179859589,837510.637198535 820872.179859589,837531.687061821 820884.645298189)",888161-3419,K,URBAN_ROAD,2,837402.489890947,820811.54846532,837531.687061821,820884.645298189
"LINESTRING (839122.576165327 821762.542404192,839126.21795678 821760.32092254,839126.21795678 821760.32092254,839160.795980495 821732.566094286,839160.795980495 821732.566094286,839201.391871678 821697.038891058,839201.391871678 821697.038891058,839217.249009262 821683.366138894,839217.249009262 821683.366138894,839258.432875436 821645.192634301,839258.432875436 821645.192634301,839271.003374732 821633.789369529,839271.003374732 821633.789369529,839279.845486793 821617.856333636,839279.845486793 821617.856333636,839287.585927433 821598.767144265,839287.585927433 821598.767144265,839289.80525417 821576.100145721,839289.80525417 821576.100145721,839292.984140562 821545.88121639,839292.984140562 821545.88121639,839283.595364832 821511.950221779,839283.595364832 821511.950221779,839272.412007109 821488.317229467,839272.412007109 821488.317229467,839262.051845245 821469.501371565,839262.051845245 821469.501371565,839247.962544579 821449.577455399,839247.962544579 821449.577455399,839223.046908542 821423.749317799,839223.046908542 821423.749317799,839206.49566705 821402.042140253,839206.49566705 821402.042140253,839193.57153127 821375.939490812,839193.57153127 821375.939490812,839190.925588959 821366.991615527,839190.925588959 821366.991615527,839186.508819298 821352.030504864,839186.508819298 821352.030504864,839177.831412405 821313.437778614,839177.831412405 821313.437778614,839174.649445719 821196.113616621,839174.649445719 821196.113616621,839175.663837759 821171.964302847)",888171-3644,K,MAJOR_ROUTE,2,839122.576165327,821762.542404192,839175.663837759,821171.964302847
"LINESTRING (842224.013343994 818075.952849078,842194.266150946 818044.456178543,842194.266150946 818044.456178543,842175.5169963 818032.312542083,842175.5169963 818032.312542083,842149.402520447 818014.164330968,842149.402520447 818014.164330968,842144.75642545 818011.150595848,842144.75642545 818011.150595848,842037.123173826 817941.148234414,842037.123173826 817941.148234414,842031.484351855 817937.836409399)",3632-46322,K,MAJOR_ROUTE,2,842224.013343994,818075.952849078,842031.484351855,817937.836409399
"LINESTRING (842096.339663948 818644.717557844,842096.779244046 818644.179647244,842096.779244046 818644.179647244,842128.169644335 818604.105542173,842128.169644335 818604.105542173,842155.202347208 818562.180583442,842155.202347208 818562.180583442,842183.964160444 818525.770911837,842183.964160444 818525.770911837,842230.93963079 818472.680576238,842230.93963079 818472.680576238,842258.372428669 818436.635959092,842258.372428669 818436.635959092,842276.074944579 818409.391022602,842276.074944579 818409.391022602,842287.738361924 818384.701734479,842287.738361924 818384.701734479,842296.990116672 818361.428922005,842296.990116672 818361.428922005,842300.178123127 818350.987892837,842300.178123127 818350.987892837,842307.092043284 818324.746494728,842307.092043284 818324.746494728,842310.55218906 818303.453590498,842310.55218906 818303.453590498,842311.805555255 818286.555989758,842311.805555255 818286.555989758,842310.992394143 818257.831139336,842310.992394143 818257.831139336,842308.649405163 818241.485814006,842308.649405163 818241.485814006,842306.306626293 818224.586816855,842306.306626293 818224.586816855,842297.745834393 818192.979864136,842297.745834393 818192.979864136,842294.7813249 818185.005829823,842294.7813249 818185.005829823,842287.595314823 818168.72507278,842287.595314823 818168.72507278,842279.523342918 818151.890304212,842279.523342918 818151.890304212,842272.687088447 818137.049238524,842272.687088447 818137.049238524,842257.291195914 818113.955155527,842257.291195914 818113.955155527,842241.471409432 818094.437649793,842241.471409432 818094.437649793,842224.013343994 818075.952849078)",3633-3632,K,MAJOR_ROUTE,2,842096.339663948,818644.717557844,842224.013343994,818075.952849078
"LINESTRING (841500.231652615 818838.993021956,841509.783463023 818841.842150402,841509.783463023 818841.842150402,841597.542263325 818866.48830076,841597.542263325 818866.48830076,841619.250394396 818871.755654442,841619.250394396 818871.755654442,841645.986593545 818877.401275575,841645.986593545 818877.401275575,841666.572134903 818881.095875868,841666.572134903 818881.095875868,841686.601501757 818884.114828526,841686.601501757 818884.114828526,841740.373556655 818892.682383527,841740.373556655 818892.682383527,841781.935680777 818901.212566621,841781.935680777 818901.212566621,841807.787062466 818902.904927619,841807.787062466 818902.904927619,841829.363311901 818902.059978818,841829.363311901 818902.059978818,841847.54031712 818898.500841555,841847.54031712 818898.500841555,841867.696723272 818891.941531426,841867.696723272 818891.941531426,841887.49319343 818883.510702739,841887.49319343 818883.510702739,841902.282307577 818874.446895662,841902.282307577 818874.446895662,841911.527633664 818866.488434087,841911.527633664 818866.488434087,841930.471706734 818850.494178584,841930.471706734 818850.494178584,841954.551200412 818823.251191404,841954.551200412 818823.251191404,842006.546978702 818759.210353417,842006.546978702 818759.210353417,842054.475737307 818697.592960599)",3637-888151,K,MAJOR_ROUTE,2,841500.231652615,818838.993021956,842054.475737307,818697.592960599
"LINESTRING (840935.939408625 818602.492375048,840947.675359507 818595.477623517,840947.675359507 818595.477623517,840959.093733251 818590.010780617,840959.093733251 818590.010780617,840977.601935543 818582.132080584,840977.601935543 818582.132080584,840993.595179628 818576.954560166,840993.595179628 818576.954560166,841006.610048644 818573.592193975,841006.610048644 818573.592193975,841024.189104654 818571.715077845,841024.189104654 818571.715077845,841035.894445799 818571.419681969,841035.894445799 818571.419681969,841061.777611865 818572.313522007,841061.777611865 818572.313522007,841069.752480408 818573.489770476,841069.752480408 818573.489770476,841095.850943077 818577.860798192,841095.850943077 818577.860798192,841121.21577989 818588.7428314,841121.21577989 818588.7428314,841122.91957355 818589.545175311)",3639-88814,K,MAJOR_ROUTE,2,840935.939408625,818602.492375048,841122.91957355,818589.545175311
