WKT,route,district,route_type,degree,start_E,start_N,end_E,end_N
"LINESTRING (836332.664595967 815664.46533104,836249.042996333 815640.004010282,836249.042996333 815640.004010282,836222.206535124 815634.544864589,836222.206535124 815634.544864589,836198.503046137 815631.222920743,836198.503046137 815631.222920743,836149.756284915 815625.896887262,836149.756284915 815625.896887262,836107.203323786 815621.246421381,836107.203323786 815621.246421381,836101.256831396 815620.593150641,836101.256831396 815620.593150641,836093.92935057 815619.795942737,836093.92935057 815619.795942737,836086.962574789 815619.031954437,836086.962574789 815619.031954437,836080.66568075 815618.345475285,836080.66568075 815618.345475285,835894.479360488 815598.006908729,835894.479360488 815598.006908729,835837.796858858 815592.693115123,835837.796858858 815592.693115123,835803.839977729 815589.700386976)",50178-50019,HK,MAJOR_ROUTE,2,836332.664595967,815664.46533104,835803.839977729,815589.700386976
"LINESTRING (835803.839977729 815589.700386976,835797.60379552 815589.150772365,835797.60379552 815589.150772365,835771.839041914 815588.154956609,835771.839041914 815588.154956609,835747.641592499 815589.055725861)",50019-50018,HK,MAJOR_ROUTE,2,835803.839977729,815589.700386976,835747.641592499,815589.055725861
"LINESTRING (835747.641592499 815589.055725861,835745.043762293 815589.152432152,835745.043762293 815589.152432152,835676.262479836 815594.990561071,835676.262479836 815594.990561071,835671.624846716 815595.389379409,835671.624846716 815595.389379409,835656.434031679 815596.907021436,835656.434031679 815596.907021436,835602.350503971 815602.334302453)",50018-760,HK,MAJOR_ROUTE,2,835747.641592499,815589.055725861,835602.350503971,815602.334302453
"LINESTRING (835602.350503971 815602.334302453,835521.530657505 815610.444572569,835521.530657505 815610.444572569,835460.819424299 815623.558503939,835460.819424299 815623.558503939,835414.752862458 815635.675260279,835414.752862458 815635.675260279,835401.262616693 815637.890683839,835401.262616693 815637.890683839,835385.020719529 815640.250228383,835385.020719529 815640.250228383,835352.757351782 815639.930701443)",760-756,HK,URBAN_ROAD,2,835602.350503971,815602.334302453,835352.757351782,815639.930701443
"LINESTRING (835352.757351782 815639.930701443,835351.670952846 815639.919942067,835351.670952846 815639.919942067,835306.757826371 815636.523097233,835306.757826371 815636.523097233,835270.470617909 815632.073855379,835270.470617909 815632.073855379,835212.932561406 815625.599681826,835212.932561406 815625.599681826,835166.143643866 815621.472523794,835166.143643866 815621.472523794,835139.431005148 815623.833065483,835139.431005148 815623.833065483,835117.129515934 815629.338177405,835117.129515934 815629.338177405,835099.642654097 815635.560754481)",756-752,HK,URBAN_ROAD,2,835352.757351782,815639.930701443,835099.642654097,815635.560754481
"LINESTRING (835099.642654097 815635.560754481,835098.672207286 815635.906081169,835098.672207286 815635.906081169,835079.782219793 815644.467254322,835079.782219793 815644.467254322,835035.19102184 815672.696840137,835035.19102184 815672.696840137,834954.934338863 815734.016874806,834954.934338863 815734.016874806,834923.781915444 815757.151888293,834923.781915444 815757.151888293,834919.083440425 815760.447469296)",752-875,HK,URBAN_ROAD,2,835099.642654097,815635.560754481,834919.083440425,815760.447469296
"LINESTRING (834919.083440425 815760.447469296,834861.209182469 815801.041343766,834861.209182469 815801.041343766,834835.353562089 815817.443422765,834835.353562089 815817.443422765,834807.395411453 815831.531397321,834807.395411453 815831.531397321,834797.337413148 815835.707018965,834797.337413148 815835.707018965,834779.272068488 815841.931990213,834779.272068488 815841.931990213,834754.40626269 815849.803868595)",875-3402,HK,URBAN_ROAD,2,834919.083440425,815760.447469296,834754.40626269,815849.803868595
"LINESTRING (834754.40626269 815849.803868595,834752.715038407 815850.339266964,834752.715038407 815850.339266964,834728.043853232 815857.439739859,834728.043853232 815857.439739859,834710.586350872 815861.184285606,834710.586350872 815861.184285606,834673.991922336 815872.405348828,834673.991922336 815872.405348828,834654.628036032 815877.512182405,834654.628036032 815877.512182405,834632.440475028 815883.316960844,834632.440475028 815883.316960844,834619.713290509 815886.618177269,834619.713290509 815886.618177269,834580.624963453 815897.396787007,834580.624963453 815897.396787007,834574.927498756 815899.151071161)",3402-8979,HK,URBAN_ROAD,2,834754.40626269,815849.803868595,834574.927498756,815899.151071161
"LINESTRING (834574.927498756 815899.151071161,834546.483386646 815907.909186884,834546.483386646 815907.909186884,834523.894299527 815916.504665851,834523.894299527 815916.504665851,834523.865894425 815916.514839635)",8979-8978,HK,URBAN_ROAD,2,834574.927498756,815899.151071161,834523.865894425,815916.514839635
"LINESTRING (834523.865894425 815916.514839635,834494.483105893 815927.038799233,834494.483105893 815927.038799233,834429.900857224 815955.571394234,834429.900857224 815955.571394234,834403.169316145 815966.515101906,834403.169316145 815966.515101906,834374.273875621 815979.485553625,834374.273875621 815979.485553625,834357.16797027 815991.269755815,834357.16797027 815991.269755815,834337.558409602 816007.771562969,834337.558409602 816007.771562969,834316.383033013 816029.024087811,834316.383033013 816029.024087811,834294.538006656 816051.50587625,834294.538006656 816051.50587625,834273.280803258 816076.667388494,834273.280803258 816076.667388494,834266.450140512 816085.253784706)",8978-896,HK,URBAN_ROAD,2,834523.865894425,815916.514839635,834266.450140512,816085.253784706
